pipeline_id,team,domain,mode,spark_version,sla_tier,cost_monthly_eur,consumer_count,alert_configured,partition_col,status
PIPE-081,ingestion,meters,streaming,3.3,standard,476,3,True,date,active
PIPE-082,silver-transform,turbines,batch,3.2,high,452,3,True,"date,region",deprecated
PIPE-083,analytics,weather,streaming,3.2,best_effort,112,0,True,date,active
PIPE-084,billing,billing,streaming,3.3,high,645,9,True,date,active
PIPE-085,compliance,forecasting,batch,3.4,critical,1497,6,False,"date,region",deprecated
PIPE-086,ml-features,compliance,batch,3.3,best_effort,53,0,True,"date,region",active
PIPE-087,asset-ops,ml-features,batch,3.2,best_effort,162,5,True,"date,region,domain",active
PIPE-088,platform,asset-mgmt,streaming,3.4,standard,183,9,True,"date,region,domain",active
PIPE-089,ingestion,meters,batch,3.2,best_effort,165,7,True,date,active
PIPE-090,silver-transform,turbines,batch,3.3,high,695,6,True,"date,region",deprecated
PIPE-091,analytics,weather,batch,3.2,best_effort,78,9,True,"date,region",experimental
PIPE-092,billing,billing,batch,3.3,standard,438,6,True,"date,region,domain",active
PIPE-093,compliance,forecasting,batch,3.4,standard,193,22,True,"date,region",active
PIPE-094,ml-features,compliance,streaming,3.4,standard,210,4,True,date,active
PIPE-095,asset-ops,ml-features,batch,3.4,high,710,9,True,date,active
PIPE-096,platform,asset-mgmt,streaming,3.4,standard,417,9,True,date,deprecated
PIPE-097,ingestion,meters,streaming,3.2,best_effort,155,8,True,date,active
PIPE-098,silver-transform,turbines,streaming,3.3,standard,302,8,True,date,active
PIPE-099,analytics,weather,batch,3.2,standard,306,3,True,date,active
PIPE-100,billing,billing,batch,3.3,high,712,1,True,date,active
PIPE-101,compliance,forecasting,batch,3.3,high,885,3,True,date,active
PIPE-102,ml-features,compliance,batch,3.4,best_effort,94,6,True,"date,region,domain",active
PIPE-103,asset-ops,ml-features,batch,3.3,best_effort,60,4,True,date,deprecated
PIPE-104,platform,asset-mgmt,batch,3.3,critical,1291,6,True,date,active
PIPE-105,ingestion,meters,batch,3.2,standard,432,6,True,date,active
PIPE-106,silver-transform,turbines,batch,3.3,standard,230,7,True,date,active
PIPE-107,analytics,weather,streaming,3.3,critical,1636,2,True,"date,region,domain",active
PIPE-108,billing,billing,streaming,3.3,standard,454,6,True,date,deprecated
PIPE-109,compliance,forecasting,batch,3.4,best_effort,114,21,True,"date,region",active
PIPE-110,ml-features,compliance,batch,3.2,standard,268,8,True,"date,region",active
PIPE-111,asset-ops,ml-features,batch,3.3,critical,2247,34,True,"date,region,domain",active
PIPE-112,platform,asset-mgmt,batch,3.2,best_effort,156,6,True,date,deprecated
PIPE-113,ingestion,meters,batch,3.2,critical,2207,1,True,date,experimental
PIPE-114,silver-transform,turbines,batch,3.4,high,873,9,True,"date,region",deprecated
PIPE-115,analytics,weather,batch,3.2,high,803,17,True,date,active
PIPE-116,billing,billing,batch,3.4,high,617,4,True,date,active
PIPE-117,compliance,forecasting,batch,3.2,standard,428,3,True,date,experimental
PIPE-118,ml-features,compliance,batch,3.3,critical,2126,2,True,"date,region",active
PIPE-119,asset-ops,ml-features,batch,3.3,critical,1344,0,True,"date,region",experimental
PIPE-120,platform,asset-mgmt,batch,3.2,standard,186,8,True,date,active
